St. Anthony's School;10;school;School;King Ming Mansion, Pok Fu Lam Rd, Sai Ying Pun;22.285063, 114.137188
St. Louis School;32;school;Middle School;179 Third St, Sai Ying Pun;22.285938, 114.138188
Saint Stephen's Church College;9;school;Middle School;62 Pok Fu Lam Rd, Sai Wan;22.285188, 114.138188
Montessori School of Hong Kong;0;school;Kindergarten;37 Pok Fu Lam Rd, Sai Wan;22.285188, 114.138813
St. Paul's College;49;school;School;67-69 Bonham Rd, Shek Tong Tsui;22.284688, 114.138813
Li Sing Primary School;11;school;Primary School;119 High St, Sai Wan;22.285313, 114.139812
HKU SPACE - Headquarters;4;school;University;90號, T.T. Tsui Building, 字樓304室, 3 Bonham Rd, Lung Fu Shan;22.283938, 114.139438
Department of Architecture, The University of Hong Kong;0;school;University Department;Lung Fu Shan, 鈕魯詩樓;22.283312, 114.138438
HKU Admission Office;1;school;School Center;The University of Hong Kong Main Building, G14 Ground Floor Main Building Pokfulam, Pok Fu Lam Rd, Lung Fu Shan;22.284062, 114.137937
Rhenish Mission School Kindergarten Section;3;school;Kindergarten;86A Bonham Rd, Sai Wan;22.283688, 114.140813
Kau Yan Primary School;4;school;School;97A High St, Sai Ying Pun;22.285313, 114.140937
St.Anthony's Anglo-Chinese Primary School & Kindergarten;1;school;Kindergarten;79-85 Hill Rd, Sai Wan;22.284438, 114.136438
Graduate School, The University of Hong Kong;0;school;Graduate School;Graduate House, University Dr,, University Dr, Lung Fu Shan;22.281938, 114.137437
Chiu Sheung School Hong Kong;11;school;Primary School;Sai Wan, 薄扶林道79B號;22.283813, 114.135813
Ying Wa Girls' School;23;school;Girls' High School;76 Robinson Rd, Mid-level;22.282562, 114.147188
Saint Clare's Primary School;13;school;Primary School;3-6 Prospect Pl;22.283563, 114.140437
San Wui Commercial Society School;19;school;School;Tai Ping Shan, 居賢坊1;22.284062, 114.148938
Kau Yan School;28;school;Educational Institution;97B High Street, Sai Ying Pun;22.285438, 114.141062
King's College;75;school;Boys' High School;Sai Wan, Bonham Rd, 63A號;22.284438, 114.140437
S.K.H. St. Peter's Primary School;9;school;Primary School;88 Hill Rd, Shek Tong Tsui;22.284187, 114.135687
Evangelical Lutheran Church - Hong Kong, Ling On Nursery School;0;school;School;Ham Tin, Kai Tin Rd, 71號號 六 樓 Lam Tin Estate Welfare Building (west);22.285813, 114.140813
Saint Charles School;10;school;Elementary School;Sai Wan, 蒲飛路25號;22.280563, 114.129938
Faculty of Law, The University of Hong Kong;11;school;Law School;Pok Fu Lam, Pok Fu Lam Rd, 10/F, Cheng Yu Tung Tower, Centennial Campus, Pokfulam Road, The University of Hong Kong, Hong Kong;22.283312, 114.133813
S.K.H. St. Peter's Primary School;30;school;Primary School;70 Hill Rd, Shek Tong Tsui;22.284937, 114.134563
Central and Western District Saint Anthony's School;21;school;Primary School;2 Hospital Rd, Central;22.283938, 114.147562
Hkspc Thomas Tam Nursery School;2;school;Nursery School;30 Hospital Rd, Sai Wan;22.285313, 114.144563
The ISF Pre-School;1;school;School;Shop 2-4, G/F Tung Fai Gardens, 17 Po Yan St, Sheung Wan;22.285063, 114.147188
Andre Music 音樂教室;1;school;Music School;德輔道西259-269號, 銀行大廈 地下20-22號舖, 港鐵西營盤站 B3 出口對面 (MRT消費站), Shop 20-22, G/F, MRT Mall, Bank Building, 259-269 Des Voeux Road West, Sai Ying Pun;22.288188, 114.141062
Bonham Road Government Primary School;15;school;Primary School;9A Bonham Rd, Mid-level;22.284563, 114.143937
補習學校 Education;0;school;Educational Institution;Sheung Fung Ln, Sai Wan;22.285687, 114.141313
Saint Stephen's Girls' College;44;school;Girls' High School;2 Lyttelton Rd, Mid-level;22.283563, 114.144062
The Harbour School (Harbour Village Campus);7;school;International School;2nd Floor Kennedy Town Centre, 23 Belcher's St, Kennedy Town;22.283938, 114.130563
Saint Stephen's Girls' Primary School and Kindergarten;4;school;Primary School;33 Park Road, Mid-level;22.283938, 114.144563
Lok Sin Tong Leung Kau Kui College;16;school;Middle School;26-28, Hospital Rd, Tai Ping Shan;22.285938, 114.145812
Elchk Amazing Grace Nursery School;0;school;School;2 High St, Sai Wan;22.284937, 114.144188
French International School of Hong Kong;1;school;High school;Tai Ping Shan;22.285063, 114.147188
Faculty of Dentistry, The University of Hong Kong;0;school;School;34 Hospital Rd, Sai Wan;22.286188, 114.144062
The ISF Pre-School;0;school;School;17 Po Yan St, Tai Ping Shan;22.285063, 114.147188
The Woodland Kennedy Town Pre-School;2;school;Preschool;G/F F, Building 3C, Davis St, Kennedy Town;22.282687, 114.126938
C&W District St Anthony's School;1;school;School;2 Hospital Rd, Tai Ping Shan;22.283688, 114.147313
King's College Old Boys' Association Primary School (School 2);9;school;Primary School;40 Po Hing Fong, Tai Ping Shan;22.284062, 114.147813
Island Waldorf School 香島華德福學校;4;school;School;Shop 1, G/F, 71-77 Smithfield, Kennedy Town;22.280688, 114.128813
Caritas Nursery School - Kennedy Town;1;school;Nursery School;27 Pokfield Rd, Kennedy Town;22.280313, 114.129813
SKH Saint Matthew's Primary School;8;school;Primary School;12-20 New St, Sheung Wan;22.285687, 114.146688
Carmel School (Kindergarten Section);0;school;Kindergarten;70 Robinson Rd, Mid-level;22.281438, 114.149437
King's College Old Boys' Association Primary School;11;school;Elementary School;58 Bridges St, Sheung Wan;22.283437, 114.150062
弘爵國際學校（堅道）;0;school;High school;Mid-level;22.282687, 114.150188
Island Christian Academy;19;school;International School;70 Bridges St, Sheung Wan;22.283813, 114.149313
The International Montessori School (Kindergarten Section)(Mid-Levels Campus);0;school;School;Mezzanine Entrance, Tung Fai Gardens 17 Po Yan Street Sheung Wan, Hong Kong, Mid-level;22.285313, 114.147438
迦密學校;0;school;High school;Mid-level, 半山羅便臣道70號雍景台1座3～4字樓;22.281688, 114.148938
荷李活中心;1;school;Office Building;Sheung Wan, 上環皇后大道西77-91號12樓C室;22.286563, 114.147062
SKH Lui Ming Choi Memorial Primary School;19;school;Primary School;Sai Wan, 堅尼地城加惠民道31號;22.281438, 114.124187
La Chouette Ecole;0;school;Preschool;1/F Imperial Terrace, 356 queens road West, entrance on Western st, Sai Ying Pun;22.286813, 114.141062
The French International School of Hong Kong;20;school;International School;165 Blue Pool Rd, Happy Valley;22.261062, 114.191562
ESF Glenealy School;6;school;International School;7 Hornsey Rd, Mid-level;22.276438, 114.152813
Cherish English School & Kindergarten;2;school;Kindergarten;Sai Wan;22.281187, 114.126188
The Woodland Montessori Academy (Mid-Levels);0;school;Preschool;On Fung Building, G/F 3/F,, 110-118 Caine Rd, Mid-level;22.282687, 114.150188
Sacred Heart Canossian School;23;school;Primary School;26 Caine Rd, Mid-level;22.280188, 114.153562
International Scholars Tuition School;1;school;Tutoring Service;3/F 255-, 257 Des Voeux Rd Central, Sheung Wan;22.286688, 114.152063
S.K.H. Kei Yan Primary School;23;school;Primary School;109 Hollywood Rd, Central;22.284062, 114.151688
West Island School;39;school;High school;250 Victoria Rd, Sandy Bay;22.272813, 114.125688
Glenealy School;0;school;School;7 Hornsey Rd, Mid-level;22.276438, 114.152813
Peak School;14;school;Primary School;20號 Plunkett's Rd, The Peak;22.267313, 114.152813
Independent Schools Foundation ISF academy (Secondary);14;school;International School;The ISF Academy (Secondary School), Kong Sin Wan Rd, Pok Fu Lam;22.264563, 114.129813
Discovery Montessori School (Central);4;school;Kindergarten;Mandarin Building, 35-43 Bonham Strand, Sheung Wan;22.285562, 114.152563
St. Clare's Girls' School;21;school;Girls' High School;50 Mount Davis Rd, Mount Davis;22.272937, 114.122063
Shrewsbury International School Hong Kong (Admissions Office) 思貝禮國際學校 (入學部);9;school;Primary School;7/F, Bangkok Bank Building, 28 Des Voeux Road Central, Central;22.282813, 114.156938
Ensure Education Centre;3;school;Learning Center;143 Second St, Sai Wan;22.286312, 114.139438
ESF Tennis Classes at West Island School;0;school;Tennis Instructor;250 Victoria Rd, Pok Fu Lam;22.272813, 114.125688
Raimondi College;42;school;Middle School;2 Robinson Rd, Mid-level;22.278313, 114.153313
Jean M. Wong School of Ballet (Central) 王仁曼芭蕾舞學校 (中環分校);0;school;School;Room 3101, 3103 17, Universal Trade Centre, 17-19 Caine Rd, Central;22.280188, 114.154187
Mandarin House School;13;school;School;Central, Connaught Rd Central, 74-77號, Beautiful Group Tower, Unit 305, 3F;22.285813, 114.154937
BSD Education;8;school;Educational Institution;18/F, Fu Fai Commercial Centre, 27 Hillier Street, Sheung Wan;22.285188, 114.151312
ITS Tutorial School Central;7;school;Tutoring Service;Boc Group Life Assurance Tower, 134-136 Des Voeux Rd Central, Sheung Wan;22.285188, 114.154563
Hong Kong Red Cross John F. Kennedy Centre;7;school;Special Education School;15-17 Sandy Bay Rd, Sandy Bay;22.271313, 114.124438
English Excel School (Mid-levels);0;school;School;Central, 亞畢諾道3號環貿中心703室;22.280188, 114.154312
Caritas Ling Yuet Sin Kindergarten;9;school;Kindergarten;54 Pok Fu Lam Rd, Sai Wan;22.284937, 114.139688
Hong Kong YWCA Tai Hon Fan Nursery School;1;school;Nursery School;99 Queen's Road Central, Central;22.285063, 114.154563
Twinkle Dance Company (Central Branch);11;school;Dance School;403, 801 Lansing House, 41-47 Queen's Road Central, Central, Central;22.282687, 114.155938
Sunshine House International Pre-school - The Peak;0;school;Kindergarten;118 Peak Rd, The Peak;22.270313, 114.149938
St. Paul's Co-educational College;55;school;Middle School;St. Paul's Co-educational College, Macdonnell Rd, Mid-level;22.275688, 114.157937
Ebenezer School & Home for the Visually Impaired;5;school;Special Education School;131 Pok Fu Lam Rd, High West;22.267188, 114.131937
天麟學校 Chamberlain Institute;0;school;Art School;Central, 砵甸乍街10號5樓;22.283188, 114.156188
Hong Kong Mandarin School;33;school;Language School;40-42 Des Voeux Rd Central, Central;22.283188, 114.156687
Kennedy School;12;school;Primary School;19 Sha Wan Dr, Sandy Bay;22.268063, 114.125437
St. Joseph's College;68;school;Middle School;7 & 26 Kennedy Rd, Mid-level;22.276687, 114.158688
HKUST Business School Central;5;school;Business School;Rm 1501- 02, 15/F, Hong Kong Club Building, 3A Chater Rd, Central;22.281313, 114.161063
NAE Hong Kong Limited;0;school;School;Central, Ice House St, 12, 2 St. George's Building;22.282063, 114.158938
The Woodland Peak Pre-School;0;school;Preschool;81 Peak Rd, The Peak;22.265313, 114.154438
Caritas Wu Cheng-chung Secondary School;5;school;Middle School;2 Northcote Cl, Sandy Bay;22.267687, 114.129562
Ebenezer New Hope School;1;school;Special Education School;131 Pok Fu Lam Rd, High West;22.266688, 114.131937
Malvern College Hong Kong Admissions Office;0;school;International School;14/F, Club Lusitano Building, 16 Ice House Street, Central;22.279938, 114.157438
English Schools Foundation Peak School;0;school;Elementary School;The Peak, 賓吉道20號;22.267313, 114.152813
薄扶林公眾騎術學校及傷殘人學騎中心;1;school;School;Pok Fu Lam, 水塘道;22.263312, 114.135813
Island School;42;school;International School;20 Borrett Rd, Mid-level;
German Swiss International School;22;school;International School;German Swiss International School (The Peak Campus) Upper Building, 11 Guildford Rd, The Peak;22.265938, 114.161562
Highgate House School - The Peak;2;school;Kindergarten;100 Peak Rd, The Peak;22.268063, 114.151688
Carmel School Of Hong Kong (Elementary Section);7;school;Primary School;10 Borrett Rd, Mid-level;22.274563, 114.163063
Independent Schools Foundation Academy (Primary Section);30;school;International School;1 Kong Sin Wan Rd, Telegraph Bay;22.263312, 114.130063
Hong Kong Academy for Performing Arts - The School of Film and Tv;0;school;School;139 Pok Fu Lam Rd, High West;22.262313, 114.135313
School of Continuing and Professional Studies - The Chinese University of Hong Kong (Central Learning Centre);3;school;University Department;Central, Harcourt Rd, 12號Unit A, 1/F, Bank of America Tower,;22.280813, 114.162938
St. Joseph’s College Brother Thomas Building;1;school;School;26 Kennedy Rd, Mid-level;22.276188, 114.158813
奇力学校;0;school;School;Pok Fu Lam Rd, Pok Fu Lam;22.267812, 114.131688
Future Island School;0;school;School;Mid-level;22.273563, 114.163563
German Swiss International School;5;school;International School;German Swiss International School (The Peak Campus) Upper Building, 11 Guildford Rd, The Peak;22.265938, 114.161562
The University of Hong Kong;462;school;University;Pok Fu Lam;22.282938, 114.137063
Parkview International Pre-School (Kowloon);0;school;Kindergarten;1 Austin Rd W, West Kowloon;22.305313, 114.162063
City Kids Pre School and Playgroup;2;school;Kindergarten;12 Borrett Rd, Mid-level;22.274188, 114.163688
Tung Wah Group of Hospitals Hok Shan School;12;school;School;5 Wah Lam Path, Waterfall Bay;22.252688, 114.138188
German Swiss International School Pokfulam Campus;1;school;School;162 Pok Fu Lam Rd, Pok Fu Lam;22.260563, 114.136688
The Harbour School (The Grove);8;school;International School;香港島鴨脷洲 鴨脷洲橋道332號;22.245063, 114.148688
TWGHs Tsui Tsin Tong School;4;school;Special Education School;25 Waterfall Bay Rd, Waterfall Bay;22.252187, 114.134188
Top Schools Hong Kong;1;school;Educational Consultant;Central, Queen Victoria St, 15號, Yue Shing Commercial Building, 14/F;22.283437, 114.155563
German Swiss International School - Peak Campus;2;school;School;Magazine Gap, Guildford Rd, 11號Building 22 German Swiss International School (The Peak Campus) Upper Building;22.266063, 114.161688
Sharon Lutheran School;25;school;Primary School;18 Cherry St, Tai Kok Tsui;22.318938, 114.164938
The Woodland Pokfulam Pre-School;0;school;Preschool;G/F Commercial Complex, Estate II, Wah Fu, Wah Fu Rd, Pok Fu Lam;22.253313, 114.136063
Singapore International School - Secondary Section;24;school;International School;2 Police School Rd, Aberdeen;22.245063, 114.167938
Lai Chack Middle School;14;school;Middle School;180 Canton Rd, Tsim Sha Tsui;22.301438, 114.168188
California School;3;school;Private School;Yau Ma Tei, 550 Nathan Road, Lung Ma Building, Yau Ma Tei, Kowloon, Hong Kong;22.314188, 114.170688
Alastair Cheuk's school;0;school;School;20 Borrett Rd, Mid-level;22.273687, 114.163688
Kellett School (Pokfulam Campus);8;school;School;Wah Fu Estate, 2 Wah Lok Path, Pok Fu Lam;22.252563, 114.139688
Canton Road Government Primary School;13;school;Primary School;178 Canton Rd, Tsim Sha Tsui;
St. Paul's College Primary School;21;school;Primary School;777號 Victoria Rd, Pok Fu Lam;22.253938, 114.138438
RL School Of Dance;0;school;School;T.a.l. Building, 49 號 16 樓, 45-53 Austin Rd, Yau Ma Tei;22.303313, 114.169937
Yaumati Kaifong Association School;13;school;Primary School;80 Public Square St, Yau Ma Tei;22.310187, 114.171687
Po Leung Kuk Camões Tan Siu Lin Primary School;68;school;Primary School;6 Hoi Ting Rd, Mong Kok;22.315063, 114.165438
Diocesan Girls' Junior School;22;school;Primary School;1 Jordan Rd, Kowloon City;22.307313, 114.172938
Caritas Lok Kan School;0;school;High school;Wan Chai, 聖佛蘭士街42號;22.275438, 114.169063
Caritas Chong Yuet Ming Secondary School;6;school;Middle School;53 Wah Fu Rd, Waterfall Bay;22.252812, 114.135313
Hong Kong School Of Commerce - Kowloon;6;school;School;81 Austin Rd, Tsim Sha Tsui;22.303313, 114.170813
Diocesan Girls' School;83;school;Girls' High School;1 Jordan Rd, Jordan;22.306938, 114.173188
Salvation Army Wah Fu Nursery School;0;school;Kindergarten;Waterfall Bay, Wah Cheung St, 7號, Wah Fu (II) Estate Wah Sang House, 樓123-127, 223-229;22.252563, 114.136187
Tang Shiu Kin Victoria Government Secondary School;8;school;High school;5 Oi Kwan Rd, Morrison Hill;22.276938, 114.178563
Singapore International School - Secondary Section;0;school;School;2 Police School Rd, Aberdeen;22.245063, 114.168062
SKH St. James' Primary School;0;school;School;Hong Kong, 110 Kennedy Rd, Wan Chai;22.272688, 114.173938
Sunshine House International Pre-School (Chi Fu);1;school;Kindergarten;1 Chi Fu Rd, Pok Fu Lam;22.255313, 114.139688
Rosaryhill School;25;school;School;41B Stubbs Rd, Mid-level;22.263688, 114.182313
Dalton School Hong Kong;2;school;School;Tai Kok Tsui;22.318312, 114.156062
Baron School of Music;1;school;Music School;193 Lockhart Rd, Wan Chai;22.278438, 114.174438
Hong Kong Red Cross Hospital Schools;0;school;Special Education School;West Kowloon, Hoi Ting Rd, 19號room 907;22.314562, 114.162313
Penasia School of Continuing Education;1;school;Educational Institution;145 Hennessy Rd, Wan Chai;22.277813, 114.173063
School of Continuing and Professional Studies, The Chinese University of Hong Kong (Tsimshatsui Oriental Learning Centre);1;school;College;Oriental Centre, 67-71 Chatham Rd S, Tsim Sha Tsui;22.300063, 114.175812
Singapore International School - Preparatory Years and Primary Section;19;school;School;23 Nam Long Shan Rd, Aberdeen;22.244687, 114.167188
Twghs Ng Sheung Lan Memorial Nursery School;0;school;Nursery School;199 Hennessy Rd, Wan Chai;22.277938, 114.174563
Complete Deelite;4;school;Baking Supply Store;Central, On Lan St, 2/F On Lan Centre;22.280813, 114.156813
ITS Tutorial School TST;1;school;Tutoring Service;Cameron Plaza, Shop A-C, 5/F, Cameron Plaza, 25A Tsim Sha Tsui, 23 Cameron Rd, Tsim Sha Tsui;
Hennessy Road Government Primary School;28;school;Primary School;163 Thomson Rd, Wan Chai;22.277437, 114.175812
S.K.H. Tin Wan Chi Nam Primary School;45;school;Primary School;5 Tin Wan New St, Aberdeen;22.251688, 114.151063
Pole Dance - A Queen Arts School;1;school;School;Prospect Building, 號 樓 493 室, 491-493A Nathan Rd, Yau Ma Tei;22.311687, 114.170688
Bradbury School;5;school;School;43C Stubbs Rd;22.265938, 114.179688
Pun U Association Wah Yan Primary School;18;school;Primary School;2號 Pak Fuk Rd, North Point;
Sophie Kindergarten & Nursery School;2;school;Nursery School;Units 8-10, UG/F, The Long Beach, 8 Hoi Fai Rd,, Tai Kok Tsui;22.320313, 114.155813
Sheng Kung Hui Tang Shiu Kin Secondary School;26;school;Middle School;9 Oi Kwan Rd, Morrison Hill;22.275813, 114.178688
St. Joseph's Primary School;21;school;Primary School;Wan Chai, Wood Rd, 48號;22.275438, 114.176688
School of Continuing and Professional Studies - The Chinese University of Hong Kong (Tsimshatsui East Ocean Learning Centre);4;school;University;Tsim Sha Tsui East, Granville Rd, 98號Basement 1, East Ocean Centre;22.300313, 114.177813
English Excel School (Olympic);0;school;School;Tai Kok Tsui, 西九匯, 1/F, 101舖;22.318438, 114.161688
Yaumati Catholic Primary School;0;school;Primary School;41 Tung Kun Street, Yau Ma Tei;22.311313, 114.167813
Ying Wa Girls' School;19;school;High and Secondary Schools;101 Castle Peak Rd, Sham Shui Po;
St. Mary's Canossian School;20;school;Primary School;87-89 Kimberley Rd, Tsim Sha Tsui;22.302812, 114.175812
Beacon College;18;school;Private School;301-302,602,701A, 701B, 702A ,702B, Ginza Square, 565-567 Nathan Rd, Yau Ma Tei;22.314687, 114.170188
香港香水學校 Hong Kong Perfume School;0;school;Educational Institution;1605, Beverley Commercial Centre, F,, 87-105 Chatham Rd S, Tsim Sha Tsui;22.301438, 114.175937
Full Luck Mahjong School;1;school;Education Center;G/F, Kam Po Building, No. 69-73 Woosung Street, Yaumatei, Kowloon, Jordan;22.306938, 114.170437
Queen Elizabeth School;38;school;Middle School;Mong Kok, Sai Yee St, 152號;22.323562, 114.171563
T.W.G.Hs. Lo Yu Chik Primary School;23;school;Primary School;51 Pitt St, Mong Kok;22.314313, 114.171187
St. Francis Xavier's College;40;school;Middle School;45 Sycamore St, Tai Kok Tsui;22.325563, 114.163187
Bradbury School;6;school;School;Stubbs Rd;22.265813, 114.179813
C & M A South Horizons Nursery School;0;school;Nursery School;29 Yi Nam Rd, Ap Lei Chau;22.243813, 114.150062
Yau Yat Chuen School;14;school;Kindergarten;2 Marigold Rd, Yau Yat Chuen;22.327937, 114.172563
The Harbour School (The Garden Campus);1;school;International School;138 Lee Chi Rd, Ap Lei Chau;22.243563, 114.153188
